Track Name,Artist Name,Album Name,Track Duration (ms),Added At,Genre
Run Away With Me (feat. Radiochaser),"Flyboy, Radiochaser",Run Away With Me (feat. Radiochaser),205423,2017-10-22T01:24:00Z,"""deep tropical house"""
Thinkin Bout You,Frank Ocean,channel ORANGE,200746,2016-11-28T04:55:38Z,"""dance pop"", ""indie r&b"", ""neo soul"", ""pop"", ""pop rap"", ""rap"""
Officially Missing You,Geeks,Officially Missing You,210337,2016-12-09T04:23:04Z,"""k-pop"", ""korean pop"""
Lie to Me,George Nozuka,Believe,221584,2017-01-16T00:38:39Z,"""alternative r&b"", ""canadian pop"""
Landslide (Glee Cast Version featuring Gwyneth Paltrow),Glee Cast,Landslide (Glee Cast Version featuring Gwyneth Paltrow),226760,2016-12-26T10:55:18Z,"""dance pop"", ""pop"", ""pop christmas"", ""post-teen pop"", ""viral pop"""
Left Out,"gnash, Karizma",U,173453,2017-01-15T08:16:25Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
get well soon (feat. liphemra),"gnash, Liphemra",us,199730,2017-01-15T08:25:54Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
rumours (feat. mark johns),"gnash, Mark Johns",us,151109,2017-01-15T08:20:01Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us,251033,2017-01-15T07:55:15Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
Fifteen - Oxford Remix,"Goldroom, Chela",Majestic Casual - Chapter I,318626,2017-01-22T01:01:34Z,"""alternative dance"", ""chillwave"", ""indie poptimism"", ""indie psych-rock"", ""indietronica"", ""nu disco"", ""shimmer pop"", ""tropical house"", ""vapor soul"""
Sunset,Grayson Gibson,Sunset,214460,2017-03-25T08:15:14Z,"""pop"""
Can't Slow Down,Hedley,Hello,216333,2016-11-26T22:51:26Z,"""canadian pop"", ""pop"", ""pop punk"", ""pop rock"""
Suffocate,J. Holiday,Back Of My Lac',220053,2016-12-10T23:07:50Z,"""alternative r&b"", ""bassline"", ""dance pop"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""neo soul"", ""new jack swing"", ""pop"", ""pop rap"", ""quiet storm"", ""r&b"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
Bed,J. Holiday,Back Of My Lac',275106,2016-12-19T19:55:14Z,"""alternative r&b"", ""bassline"", ""dance pop"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""neo soul"", ""new jack swing"", ""pop"", ""pop rap"", ""quiet storm"", ""r&b"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
Torn - Bonus Track,James TW,First Impressions,196213,2017-03-06T01:53:39Z,"""channel pop"", ""indie anthem-folk"", ""neo mellow"", ""pop"", ""pop rock"", ""post-teen pop"", ""tropical house"", ""viral pop"""
Best Friend,Jason Chen,Gravity,233000,2016-12-12T00:13:56Z,"""channel pop"", ""post-teen pop"", ""viral pop"""
Impatient,"Jeremih, Ty Dolla $ign",Late Nights: The Album,245520,2017-01-15T06:38:14Z,"""dance pop"", ""dwn trap"", ""indie r&b"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""rap"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
Lights,Jessame,Lights,206184,2017-04-14T08:49:00Z,"""pop"""
"Flashlight - From Pitch Perfect 2"" Soundtrack""",Jessie J,"Flashlight (From Pitch Perfect 2"" Soundtrack)""",208666,2017-02-19T05:02:51Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""viral pop"""
Domino,Jessie J,Who You Are (Platinum Edition),231693,2017-02-19T05:05:21Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""viral pop"""
Price Tag,"Jessie J, B.o.B",Who You Are (Platinum Edition),223053,2017-02-19T05:02:50Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""viral pop"""
Bed Peace,"Jhene Aiko, Childish Gambino",Sail Out,256079,2016-12-11T09:26:19Z,"""dance pop"", ""deep indie r&b"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""rap"", ""urban contemporary"""
All of Me,John Legend,Love In The Future,269560,2016-11-28T00:40:27Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
You & I (Nobody in the World),John Legend,Love In The Future (Special Edition),252653,2016-11-28T08:12:18Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
Love Me Now,John Legend,Love Me Now,210306,2016-12-25T23:16:37Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
For the First Time,John Legend,Love In The Future,312346,2017-03-26T08:57:28Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
Overload,"John Legend, Miguel",DARKNESS AND LIGHT,200293,2017-02-21T07:27:59Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
Like Wine,Jordan Marcotte,Like Wine,191280,2017-04-02T07:08:58Z,"""deep ccm"""
Versace On The Floor,Joseph Vincent,Versace On The Floor,138201,2017-01-13T15:04:46Z,"""channel pop"", ""viral pop"""
Here With Me,Justin Michael Williams,Here With Me,246377,2016-12-06T04:07:03Z,"""pop"""
Energy - Main Final,Keri Hilson,In A Perfect World...,209840,2017-01-15T07:44:59Z,"""dance pop"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""neo soul"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""southern hip hop"", ""urban contemporary"""
Circles,Kiana Valenciano,Circles,235000,2017-02-19T23:45:14Z,"""dance pop"""
Does She Know,"Kiana Valenciano, Curtismith",Does She Know,231578,2017-02-20T07:13:18Z,"""dance pop"""
JULY,Kris Wu,JULY,186980,2017-10-22T01:24:06Z,"""c-pop"", ""hip hop"", ""r&b"""
It Ain't Me (with Selena Gomez),"Kygo, Selena Gomez",It Ain't Me (with Selena Gomez),220780,2017-02-16T06:15:10Z,"""edm"", ""minimal dub"", ""pop"", ""tropical house"""
Summer of Love (Radio Edit),"Kyler England, Myon & Shane 54",Summer of Love,258750,2016-12-04T07:46:13Z,"""progressive house"", ""progressive trance"", ""trance"", ""uplifting trance"""
Bleeding Love,Leona Lewis,Spirit,262466,2016-11-26T22:29:48Z,"""dance pop"", ""europop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""r&b"", ""talent show"", ""urban contemporary"", ""viral pop"""
Better in Time,Leona Lewis,Spirit,234173,2016-11-26T22:29:51Z,"""dance pop"", ""europop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""r&b"", ""talent show"", ""urban contemporary"", ""viral pop"""
My Hands,Leona Lewis,Echo,252600,2017-01-24T13:59:56Z,"""dance pop"", ""europop"", ""neo mellow"", ""pop"", ""pop christmas"", ""pop rock"", ""post-teen pop"", ""r&b"", ""talent show"", ""urban contemporary"", ""viral pop"""
Cactus In the Valley (feat Owl City) [Acoustic] - JOHNNYSWIM,Lights,Siberia (Acoustic),202906,2016-11-28T04:56:20Z,"""canadian pop"", ""indie poptimism"", ""indietronica"", ""pop"""
Somewhere Only We Know,Lily Allen,Somewhere Only We Know,208154,2016-12-25T23:17:16Z,"""dance pop"", ""europop"", ""folk-pop"", ""pop"", ""pop rock"", ""post-teen pop"""
You're Not There,Lukas Graham,Lukas Graham,202893,2017-01-18T05:56:45Z,"""pop"""
What Happened To Perfect,Lukas Graham,Lukas Graham,236853,2017-01-18T08:29:01Z,"""pop"""
Someone Like You,Mac Miller,Watching Movies with the Sound Off,261797,2016-12-19T10:39:48Z,"""hip hop"", ""pop rap"", ""rap"", ""southern hip hop"", ""trap music"", ""underground hip hop"""
Cinderella (feat. Ty Dolla $ign),"Mac Miller, Ty Dolla $ign",The Divine Feminine,480186,2016-12-19T10:39:52Z,"""hip hop"", ""pop rap"", ""rap"", ""southern hip hop"", ""trap music"", ""underground hip hop"""
La Lune,"Madeon, Dan Smith",Adventure (Deluxe),219840,2017-01-11T02:24:28Z,"""alternative dance"", ""big room"", ""brostep"", ""catstep"", ""complextro"", ""edm"", ""electro house"", ""electronic trap"", ""filter house"", ""indietronica"", ""progressive electro house"", ""tropical house"""
Pay No Mind,"Madeon, Passion Pit",Adventure (Deluxe),249440,2017-01-11T02:24:24Z,"""alternative dance"", ""big room"", ""brostep"", ""catstep"", ""complextro"", ""edm"", ""electro house"", ""electronic trap"", ""filter house"", ""indietronica"", ""progressive electro house"", ""tropical house"""
Who Do You Love,Marianas Trench,Astoria,232099,2016-12-07T06:00:24Z,"""emo"", ""modern rock"", ""pixie"", ""pop"", ""pop emo"", ""pop punk"", ""post-teen pop"", ""viral pop"""
One Love,Marianas Trench,Astoria,241452,2016-12-07T06:51:31Z,"""emo"", ""modern rock"", ""pixie"", ""pop"", ""pop emo"", ""pop punk"", ""post-teen pop"", ""viral pop"""
Forget Me Not,Marianas Trench,Astoria,228276,2016-12-07T06:55:12Z,"""emo"", ""modern rock"", ""pixie"", ""pop"", ""pop emo"", ""pop punk"", ""post-teen pop"", ""viral pop"""
One Night,Matthew Koma,One Night,213733,2016-12-04T07:46:22Z,"""pop"", ""dance pop"""
Lights Down Low,MAX,Lights Down Low - EP,224386,2016-11-25T22:21:51Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
When You Loved Me Least,Michl,Michl,216906,2016-12-28T03:36:49Z,"""indie poptimism"", ""vapor soul"""
Die Trying,Michl,Michl,208214,2016-12-28T03:36:57Z,"""indie poptimism"", ""vapor soul"""
Broken Roots,Michl,Michl,226000,2016-12-28T03:37:05Z,"""indie poptimism"", ""vapor soul"""
Tell Me the Same,Michl,Michl,238000,2016-12-28T03:37:12Z,"""indie poptimism"", ""vapor soul"""
