?Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,Genre
spotify:track:3t1hWG8EmCAIjMhEeEHoHj,get well soon (feat. liphemra),"gnash, Liphemra",us,1,3,199730,spotify:user:jennunyan,2017-01-15T08:25:54Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
spotify:track:4PKZmIXiIt54OQo1E51aTd,rumours (feat. mark johns),"gnash, Mark Johns",us,1,2,151109,spotify:user:jennunyan,2017-01-15T08:20:01Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
spotify:track:7vRriwrloYVaoAe3a9wJHe,"i hate u, i love u (feat. olivia o'brien)","gnash, Olivia O'Brien",us,1,6,251033,spotify:user:jennunyan,2017-01-15T07:55:15Z,"""pop"", ""post-teen pop"", ""teen pop"", ""viral pop"""
spotify:track:69V4ar8T60qCnOLHQQbTnd,Fifteen - Oxford Remix,"Goldroom, Chela",Majestic Casual - Chapter I,1,15,318626,spotify:user:jennunyan,2017-01-22T01:01:34Z,"""alternative dance"", ""chillwave"", ""indie poptimism"", ""indie psych-rock"", ""indietronica"", ""nu disco"", ""shimmer pop"", ""tropical house"", ""vapor soul"""
spotify:track:7iOnpXYaRpRYUAHKVDnqgp,Sunset,Grayson Gibson,Sunset,1,1,214460,spotify:user:jennunyan,2017-03-25T08:15:14Z,"""pop"""
spotify:track:5rbkRKqYNoLt8my5Ev7ydj,Can't Slow Down,Hedley,Hello,1,4,216333,spotify:user:jennunyan,2016-11-26T22:51:26Z,"""canadian pop"", ""pop"", ""pop punk"", ""pop rock"""
spotify:track:6xlEwLvtwDXR3bfLPxnjv9,Suffocate,J. Holiday,Back Of My Lac',1,9,220053,spotify:user:jennunyan,2016-12-10T23:07:50Z,"""alternative r&b"", ""bassline"", ""dance pop"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""neo soul"", ""new jack swing"", ""pop"", ""pop rap"", ""quiet storm"", ""r&b"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
spotify:track:6TlRNJaezOdzdECnQeRuMM,Bed,J. Holiday,Back Of My Lac',1,4,275106,spotify:user:jennunyan,2016-12-19T19:55:14Z,"""alternative r&b"", ""bassline"", ""dance pop"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""neo soul"", ""new jack swing"", ""pop"", ""pop rap"", ""quiet storm"", ""r&b"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
spotify:track:5511Aj0mYSejKP6fplsoRk,Torn - Bonus Track,James TW,First Impressions,1,6,196213,spotify:user:jennunyan,2017-03-06T01:53:39Z,"""channel pop"", ""indie anthem-folk"", ""neo mellow"", ""pop"", ""pop rock"", ""post-teen pop"", ""tropical house"", ""viral pop"""
spotify:track:1CKIgidUyOu2MjDwcd4xVd,Best Friend,Jason Chen,Gravity,1,5,233000,spotify:user:jennunyan,2016-12-12T00:13:56Z,"""channel pop"", ""post-teen pop"", ""viral pop"""
spotify:track:3WjyiSbfR74pjWXQ3IaFKJ,Impatient,"Jeremih, Ty Dolla $ign",Late Nights: The Album,1,3,245520,spotify:user:jennunyan,2017-01-15T06:38:14Z,"""dance pop"", ""dwn trap"", ""indie r&b"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""rap"", ""southern hip hop"", ""trap music"", ""urban contemporary"""
spotify:track:7EUagoY178SBHCJVDonZam,Lights,Jessame,Lights,1,1,206184,spotify:user:jennunyan,2017-04-14T08:49:00Z,"""pop"""
spotify:track:4rkUEE5iTzG0szS8k8QzqR,"Flashlight - From Pitch Perfect 2"" Soundtrack""",Jessie J,"Flashlight (From Pitch Perfect 2"" Soundtrack)""",1,1,208666,spotify:user:jennunyan,2017-02-19T05:02:51Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""viral pop"""
spotify:track:6MAdEUilV2p9RQUqE5bMAK,Domino,Jessie J,Who You Are (Platinum Edition),1,14,231693,spotify:user:jennunyan,2017-02-19T05:05:21Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""viral pop"""
spotify:track:5mvKuE9Lf9ARVXVXA32kK9,Price Tag,"Jessie J, B.o.B",Who You Are (Platinum Edition),1,1,223053,spotify:user:jennunyan,2017-02-19T05:02:50Z,"""dance pop"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""viral pop"""
spotify:track:5Ck3e6z1bcSCes5gdo0Ddt,Bed Peace,"Jhene Aiko, Childish Gambino",Sail Out,1,2,256079,spotify:user:jennunyan,2016-12-11T09:26:19Z,"""dance pop"", ""deep indie r&b"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""rap"", ""urban contemporary"""
spotify:track:3U4isOIWM3VvDubwSI3y7a,All of Me,John Legend,Love In The Future,1,6,269560,spotify:user:jennunyan,2016-11-28T00:40:27Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
spotify:track:0uOWBM3wtPkcPWRZIX7tej,You & I (Nobody in the World),John Legend,Love In The Future (Special Edition),1,14,252653,spotify:user:jennunyan,2016-11-28T08:12:18Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
spotify:track:6hdkw1wzhIRYPlYDUtCY5m,Love Me Now,John Legend,Love Me Now,1,1,210306,spotify:user:jennunyan,2016-12-25T23:16:37Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
spotify:track:1kzc6gS8MnxCDX7ykBXsxM,For the First Time,John Legend,Love In The Future,1,20,312346,spotify:user:jennunyan,2017-03-26T08:57:28Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
spotify:track:37exBefsiwr3rmQ7xcQnEJ,Overload,"John Legend, Miguel",DARKNESS AND LIGHT,1,4,200293,spotify:user:jennunyan,2017-02-21T07:27:59Z,"""indie r&b"", ""neo mellow"", ""neo soul"", ""pop"", ""pop christmas"", ""pop rap"", ""r&b"", ""soul christmas"", ""urban contemporary"""
spotify:track:7nTHnxeAz6QMj3yG29yemL,Like Wine,Jordan Marcotte,Like Wine,1,1,191280,spotify:user:jennunyan,2017-04-02T07:08:58Z,"""deep ccm"""
spotify:track:1KalIfAR9lEpLWZZFdEfW4,Versace On The Floor,Joseph Vincent,Versace On The Floor,1,1,138201,spotify:user:jennunyan,2017-01-13T15:04:46Z,"""channel pop"", ""viral pop"""
spotify:track:2rURlrat6TOTYydJP5oPPA,Here With Me,Justin Michael Williams,Here With Me,1,1,246377,spotify:user:jennunyan,2016-12-06T04:07:03Z,"""pop"""
spotify:track:0VI3YNoksmAn0LMnTVhBkq,Energy - Main Final,Keri Hilson,In A Perfect World...,1,13,209840,spotify:user:jennunyan,2017-01-15T07:44:59Z,"""dance pop"", ""deep pop r&b"", ""hip pop"", ""indie r&b"", ""neo soul"", ""pop"", ""pop rap"", ""post-teen pop"", ""r&b"", ""southern hip hop"", ""urban contemporary"""
spotify:track:2fTEzQUD3XO0NAMRZu9xnE,Circles,Kiana Valenciano,Circles,1,1,235000,spotify:user:jennunyan,2017-02-19T23:45:14Z,"""dance pop"""
spotify:track:60LTEqwQF7J0mO093FPRdc,Does She Know,"Kiana Valenciano, Curtismith",Does She Know,1,1,231578,spotify:user:jennunyan,2017-02-20T07:13:18Z,"""dance pop"""
